id;name;email;points
1;arrange;Elisha_Hyatt18@yahoo.com;25875
2;gripper likewise frightfully;Rickey4@yahoo.com;22151
3;yum woot;Natalia.Cronin@hotmail.com;17676
4;angle promptly;Brock78@gmail.com;11972
5;quarrel irresponsible shrilly;Jannie45@gmail.com;30754
6;courageously opposite;Delphine_Trantow26@gmail.com;11353
7;furthermore fruitful;Cecile_Collier@hotmail.com;9265
8;whistle unfortunate flawed;Clarabelle.Turner92@gmail.com;23669
9;optimistic;Jaron56@yahoo.com;16925
10;gadzooks secondary doubter;Orville_Rowe2@gmail.com;2095
